instance,seed,cutoff,size,ref,rel_err,valid,wall_time
large7,7,60,1930,1917,0.0068,1,60.0936
large7,8,60,1929,1917,0.0063,1,60.1267
large7,9,60,1931,1917,0.0073,1,60.1370
large7,10,60,1928,1917,0.0057,1,60.0372
large7,11,60,1926,1917,0.0047,1,60.0349
large7,12,60,1932,1917,0.0078,1,60.0754
large7,13,60,1928,1917,0.0057,1,60.1260
large7,14,60,1928,1917,0.0057,1,60.0597
large7,15,60,1930,1917,0.0068,1,60.2425
large7,16,60,1929,1917,0.0063,1,60.1630
large7,17,60,1928,1917,0.0057,1,60.0446
large7,18,60,1929,1917,0.0063,1,60.0783
large7,19,60,1928,1917,0.0057,1,60.1408
large7,20,60,1931,1917,0.0073,1,60.0594
large7,21,60,1928,1917,0.0057,1,60.2379
large7,22,60,1931,1917,0.0073,1,60.0976
large7,23,60,1929,1917,0.0063,1,60.1422
large7,24,60,1930,1917,0.0068,1,60.0528
large7,25,60,1931,1917,0.0073,1,60.1295
large7,26,60,1928,1917,0.0057,1,60.1016
large7,27,60,1932,1917,0.0078,1,60.0559
large7,28,60,1929,1917,0.0063,1,60.1381
large7,29,60,1930,1917,0.0068,1,60.3375
large7,30,60,1932,1917,0.0078,1,60.2090
large7,31,60,1929,1917,0.0063,1,60.1127
large7,32,60,1930,1917,0.0068,1,60.1225
large7,33,60,1929,1917,0.0063,1,60.0767
large7,34,60,1932,1917,0.0078,1,60.0976
large7,35,60,1929,1917,0.0063,1,60.0821
large7,36,60,1927,1917,0.0052,1,60.1526
large7,37,60,1930,1917,0.0068,1,60.0335
large7,38,60,1929,1917,0.0063,1,60.1006
large7,39,60,1929,1917,0.0063,1,60.1896
large7,40,60,1933,1917,0.0083,1,60.0818
large7,41,60,1932,1917,0.0078,1,63.0457
large7,42,60,1930,1917,0.0068,1,62.5247
large7,43,60,1932,1917,0.0078,1,64.8694
large7,44,60,1928,1917,0.0057,1,60.1319
large7,45,60,1930,1917,0.0068,1,60.2875
large7,46,60,1929,1917,0.0063,1,60.1455
large7,47,60,1928,1917,0.0057,1,60.1538
large7,48,60,1932,1917,0.0078,1,60.1172
large7,49,60,1931,1917,0.0073,1,60.4008
large7,50,60,1929,1917,0.0063,1,60.0772
large8,1,60,1803,1785,0.0101,1,60.1887
large8,2,60,1803,1785,0.0101,1,60.1106
large8,3,60,1798,1785,0.0073,1,60.0826
large8,4,60,1807,1785,0.0123,1,60.1440
large8,5,60,1804,1785,0.0106,1,60.0740
large8,6,60,1805,1785,0.0112,1,60.1592
large8,7,60,1801,1785,0.0090,1,60.1086
large8,8,60,1806,1785,0.0118,1,60.0465
large8,9,60,1802,1785,0.0095,1,60.0411
large8,10,60,1803,1785,0.0101,1,60.1187
large8,11,60,1800,1785,0.0084,1,60.0630
large8,12,60,1807,1785,0.0123,1,60.1405
large8,13,60,1807,1785,0.0123,1,60.0695
large8,14,60,1803,1785,0.0101,1,60.0262
large8,15,60,1800,1785,0.0084,1,60.0575
large8,16,60,1803,1785,0.0101,1,60.0683
large8,17,60,1802,1785,0.0095,1,60.0348
large8,18,60,1804,1785,0.0106,1,60.1715
large8,19,60,1804,1785,0.0106,1,60.1140
large8,20,60,1807,1785,0.0123,1,60.0284
large8,21,60,1804,1785,0.0106,1,61.1226
large8,22,60,1807,1785,0.0123,1,60.1370
large8,23,60,1805,1785,0.0112,1,60.0620
large8,24,60,1804,1785,0.0106,1,60.0515
large8,25,60,1802,1785,0.0095,1,60.0524
large8,26,60,1804,1785,0.0106,1,60.0475
large8,27,60,1798,1785,0.0073,1,61.2554
large8,28,60,1803,1785,0.0101,1,60.0563
large8,29,60,1797,1785,0.0067,1,60.1665
large8,30,60,1800,1785,0.0084,1,60.0607
large8,31,60,1802,1785,0.0095,1,60.0476
large8,32,60,1807,1785,0.0123,1,60.0455
large8,33,60,1798,1785,0.0073,1,60.0248
